Section,Category,Stat,Display Name,Value,Unit,Type,Source,Description
"Bots and AI","Bots|HoverPass","BotPassHoldMargin","Hold Margin (s)","0.2","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Extra seconds a bot holds the pass input beyond the rule's dwell, as insurance against the hold and the dwell being clocked on slightly different frames. Cheap: the surplus is spent shielded-down, but only for a frame or two. [allowed range: 0.0 to 2.0]"
"Bots and AI","Bots|HoverPass","BotPassHoldSeconds","Hold Duration (s) [mirror of Core|Pass]","0.5","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Bot-side MIRROR of Core|Pass ""Pass Hold (s)"". Keep equal to PassHoldSeconds. [allowed range: 0.0 to 5.0]"
"Bots and AI","Bots|HoverPass","BotPassCooldownSeconds","Pass Cooldown (s) [mirror of Core|Pass]","2.3","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Bot-side MIRROR of Core|Pass ""Pass Cooldown (s)"", plus a little so bots never spam it. [allowed range: 0.0 to 20.0]"
"Bots and AI","Bots|HoverPass","BotPassAimToleranceDegrees","Aim Tolerance (deg)","4","deg","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How close the aim must be to the receiver before the bot commits the input, in degrees. The bot lines up with the shield still UP (ETraceBotPassPhase::Lining), which costs nothing, and only presses once it is inside this cone. Pressing early would burn the vulnerable window on slewing rather than on the dwell. [allowed range: 0.1 to 45.0]"
"Bots and AI","Bots|HoverPass","BotPassMaxLineUpSeconds","Max Line-Up Time (s)","1.1","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Seconds a bot will spend lining up before giving up on this receiver. A carrier that spends four seconds slewing at a teammate who keeps moving behind cover is a carrier not running at the goal. [allowed range: 0.05 to 10.0]"
"Bots and AI","Bots|Punish","BotPunishRange","Punish Range (uu)","2600","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Range (uu) at which a punisher will hold a bead on the enemy carrier. Also the radius used by CountEnemiesCoveringMe(), so the carrier's idea of ""someone can shoot me"" and the defender's idea of ""I can shoot the carrier"" are the same number by construction. If those two ever disagree, one side of the pass loop is playing a different game. [allowed range: 100.0 to 20000.0]"
"Bots and AI","Bots|Punish","BotPunishStandoffFraction","Punish Standoff (fraction of Punish Range)","0.55","0-1","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Standoff a punisher tries to hold from the carrier, as a fraction of BotPunishRange. Deliberately not zero: a punisher that walks onto the carrier is inside its own trace-hunting teammates' crossing lanes, and is also the first thing a dashing carrier escapes past. [allowed range: 0.0 to 1.0]"
"Bots and AI","Bots|Aim","BotAimHeadOffsetZ","Head Aim Offset Z (uu)","62","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Head aim point, +Z from the capsule centre. The capsule half-height is 88, so ~62 is the skull. [allowed range: -200.0 to 200.0]"
"Bots and AI","Bots|Aim","BotAimBodyOffsetZ","Body Aim Offset Z (uu)","20","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Body (centre mass) aim point, +Z from the capsule centre. Also the point the LOS test uses. [allowed range: -200.0 to 200.0]"
"Bots and AI","Bots|Aim","BotAimLegOffsetZ","Leg Aim Offset Z (uu)","-50","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Where a bot aims when it is deliberately going low. Not currently chosen on purpose by any difficulty - it exists because vertical aim error around the body point already produces leg hits, and naming the zone makes that visible in the damage numbers instead of looking like a miss that happened to land. [allowed range: -200.0 to 200.0]"
"Bots and AI","Bots|Movement","BotStuckJumpSeconds","Stuck Jump After (s)","1.3","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Seconds a bot may push into geometry without moving before it tries a jump to clear it. The bots have no navmesh, so their one failure mode is wedging against the arena's waist-high furniture and sidestepping along it. Strafe-evade handles most of it; this is the escalation when it does not, and it is deliberately NOT gated on MovementTechChance - a recovery that only sometimes fires is a bot that sometimes stands ... [allowed range: 0.1 to 10.0]"
"Bots and AI","Bots|Movement","BotDashCooldownSeconds","Dash Cooldown (s) [mirror of Movement|Dash]","3.5","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Bot-side MIRROR of DashCooldown, used by the shadow charge model. Keep the two equal. [allowed range: 0.05 to 30.0]"
"Bots and AI","Bots|Movement","BotSlideMinSpeed","Slide Min Speed (uu/s)","480","uu/s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Minimum planar speed (uu/s) before a slide is worth starting. Sliding from a standstill is a crouch. [allowed range: 0.0 to 3000.0]"
"Bots and AI","Bots|Movement","BotSlideHoldSeconds","Slide Hold (s)","1.6","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How long a bot holds the crouch input once it decides to slide, as an UPPER BOUND. *** THE ""MUST TRACK SlideDuration"" RULE IS NOW ENFORCED IN CODE, NOT IN THIS COMMENT (spec v24 §0). *** This used to say ""keep at or under SlideDuration"" and nothing checked it, so when spec v24 §8 cut the effective slide from 1.26 s to 0.86 s a bot carried on holding crouch for the full 1.60 s and crouch-walked for 0.74 s after its ... [allowed range: 0.05 to 6.0]"
"Bots and AI","Bots|Movement","BotSlideCooldownSeconds","Slide Cooldown (s)","3.2","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Bot-side pacing on slides, so a bot does not spend the whole match on its side. [allowed range: 0.0 to 20.0]"
"Bots and AI","Bots|Movement","BotFastFallMinHeight","Fast-Fall Min Height (uu)","140","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Minimum height above the floor at which a bot will crouch to kill its upward momentum. The fast-fall exists to get back to the ground quickly - a bot in the air cannot dash usefully and cannot change direction, which is a bad place to be while being shot at. Below this height the fall is over before the input would matter. [allowed range: 0.0 to 2000.0]"
"Trail and VFX","Trail","TrailLethality","Trail Lethality","KillsCarrier","","ETrailLethality","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Who dies when the trail is tripped. Default rule: the carrier does."
"Trail and VFX","Trail","bOnlyEnemiesTripTrail","Only Enemies Trip Trail","true","on/off","bool","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","True: teammates of the carrier pass through the trail harmlessly. Flipping this changes the game."
"Trail and VFX","Trail","bRequireDashToTripTrail","Require Dash To Trip Trail","true","on/off","bool","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","True: only a dashing player trips the trail. This is the core counterplay rule."
"Trail and VFX","Trail","TrailLifetime","Trail Lifetime (s) [derivation/legacy fade only]","2","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","NO LONGER THE EXPIRY RULE. SPEC v7 §1 deleted time-based trail expiry outright; a trail point now leaves the tail ONLY when new trace at the head pushes the path past TrailMaxLengthUU. A carrier who stands still therefore keeps their entire trace indefinitely - that is the whole point of the change. The reported exploit was that a stationary carrier's trace timed out and left them literally unkillable, the trace ... [allowed range: 0.2 to 4.0]"
"Trail and VFX","Trail","TrailMaxLengthUU","Trail Max Length (uu)","1200","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","SPEC v7 §§1-2. THE MAXIMUM LENGTH OF A TRACE, IN UU - and the rule that retires trail points. Points are appended at the head as the carrier moves and dropped from the tail only while the total path length exceeds this. Nothing else retires a point. No clock is involved, so the trace behind a stationary carrier is permanent until they move again. 1200 = the v7 §2 conversion of the old timer: TrailLifetime 2.0s x ... [allowed range: 0.0 to 8000.0]"
"Trail and VFX","Trail","TrailPointSpacing","Point Spacing (uu)","60","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Distance the carrier must travel before a new point is appended, in uu. Smaller is a smoother, more expensive trace. Sane range 40 to 100; this multiplied by MaxTrailPoints is the longest trace that can exist. [allowed range: 10.0 to 500.0]"
"Trail and VFX","Trail","TrailRadius","Segment Radius (uu)","22.5","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","HALF the trace's width in uu - the LETHAL radius and the DRAWN radius, which are one number. SPEC v7 §3: 45 (the full player-model width) -> 22.5, ""it doesn't need to be the full width of the player model"". Both the trip test and every renderer arm resolve this through UTraceTrailComponent::GetTraceTrailRadius(), so shrinking the drawing without shrinking the kill volume (""I dashed past it and died anyway"") is not ... [allowed range: 5.0 to 500.0]"
"Trail and VFX","Trail","TrailHeight","Segment Height (uu)","63","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","The trace's height in uu, centred on the carrier's mid-model - LETHAL AND DRAWN TOGETHER. SPEC v7 §3: 190 -> 63, ""get rid of the top and bottom third of the trace, so that it's just the middle section, in order to make visibility around the trace better"". Resolved through UTraceTrailComponent::GetTraceTrailHeight(); Trace.Trail.Height overrides it. NOTE, and this changed in v7: this NO LONGER drives the third-person ... [allowed range: 10.0 to 1000.0]"
"Trail and VFX","Trail","bTrailWallFitEnabled","Wall Fit Enabled [v12 §6]","true","on/off","bool","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Master switch for the corner fitter. Pairs with Trace.Trail.WallFit. OFF restores the exact pre-v12 straight chord - i.e. it reproduces the reported bug on demand, which is what makes it worth keeping rather than deleting once the fix lands. ""Is the clipping fixed"" and ""did the fix change where the trace kills"" are two questions, and this is how they get asked one at a time."
"Trail and VFX","Trail","TrailWallFitMarginUU","Wall Fit Margin (uu over half width) [v12 §6]","4","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Clearance in uu the trace asks for OVER its own half width when testing a segment against the level. Pairs with Trace.Trail.WallFitMargin. The ribbon legitimately reaches a little past TrailRadius at joints (interior joints overlap by one radius so the wedge on the outside of a corner closes) and a box's corner is further from its axis than its face. A few uu covers that without pretending the trace is fatter than ... [allowed range: 0.0 to 34.0]"
"Trail and VFX","Trail","TrailWallFitMaxPushUU","Wall Fit Max Push (uu) [v13 §7: 12 -> 44]","44","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Largest horizontal nudge, in uu, applied to a trail point that is ALREADY inside level geometry. Pairs with Trace.Trail.WallFitMaxPush. 0 disables the nudge and leaves subdivision. Deliberately small. Subdivision does the real work; this is residue cleanup, and it must never become a mechanism that slides the trace off the route the player ran - the trace is where the carrier went, and a knob that can move it 100 uu ... [allowed range: 0.0 to 64.0]"
"Trail and VFX","Trail","bTrailWallClearanceEnabled","Wall Clearance By Half Width [v13 §7]","true","on/off","bool","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","SPEC v13 §7 - CLEAR THE TRACE BY ITS OWN HALF WIDTH WHENEVER THE PATH RUNS NEAR GEOMETRY, rather than only when a chord is BLOCKED. Pairs with Trace.Trail.WallClearance. THIS IS THE SHAPE OF THE FIX, WHICH IS WHY IT IS A SWITCH AND NOT A DISTANCE. v12 §6 diagnosed corner-cutting - two points straddling a pillar with the chord between them passing through it - and fixed exactly that: the router triggers on a blocked ..."
